sample_id,status,token_count,window_count,unresolved_words,audio_valid_tokens,vision_valid_tokens,video_decoded_frames,video_processed_frames,face_frames,elapsed_s,error
-egA8-b7-3M$_$16,PASS,15,1,0,13,13,166,56,56,0.75,
-egA8-b7-3M$_$13,PASS,18,1,0,16,16,123,42,42,0.58,
-egA8-b7-3M$_$1,REVIEW,24,1,1,20,20,306,103,103,1.31,
-egA8-b7-3M$_$6,PASS,15,1,0,13,13,187,63,63,0.81,
-egA8-b7-3M$_$9,PASS,14,1,0,12,12,150,51,51,0.69,
-egA8-b7-3M$_$20,PASS,26,1,0,24,24,196,66,66,0.92,
-iRBcNs9oI8$_$3,REVIEW,11,1,2,7,0,167,56,0,0.74,
-iRBcNs9oI8$_$7,REVIEW,17,1,2,13,0,120,41,0,0.57,
-iRBcNs9oI8$_$6,REVIEW,7,1,2,3,0,85,29,0,0.51,
-iRBcNs9oI8$_$9,REVIEW,7,1,1,4,0,102,34,0,0.56,
-iRBcNs9oI8$_$8,REVIEW,28,1,5,20,0,241,81,0,1.01,
-lzEya4AM_4$_$5,REVIEW,23,1,1,20,0,229,77,0,0.61,
-lzEya4AM_4$_$6,REVIEW,50,1,1,47,0,443,148,0,1.25,
-mJ2ud6oKI8$_$1,REVIEW,15,1,13,0,0,182,61,0,0.69,
-mJ2ud6oKI8$_$2,REVIEW,19,1,11,0,0,171,57,0,0.79,
-mJ2ud6oKI8$_$6,PASS,7,1,0,5,5,67,23,23,0.44,
-mJ2ud6oKI8$_$9,REVIEW,31,1,5,23,23,208,70,68,1.23,
-mJ2ud6oKI8$_$8,REVIEW,13,1,4,7,7,125,42,42,0.83,
-mqbVkbCndg$_$0,PASS,19,1,0,17,17,194,65,65,0.99,
-t217m2on-s$_$2,PASS,18,1,0,16,16,170,57,57,0.72,
-t217m2on-s$_$7,PASS,55,2,0,53,53,512,172,172,2.04,
-tANM6ETl_M$_$3,REVIEW,31,1,1,28,28,200,67,67,1.16,
-tPCytz4rww$_$11,PASS,22,1,0,20,20,164,55,55,0.68,
-tPCytz4rww$_$10,PASS,17,1,0,15,15,142,48,48,0.67,
-tPCytz4rww$_$12,REVIEW,30,1,2,26,26,353,118,118,1.41,
-tPCytz4rww$_$16,PASS,19,1,0,17,17,216,72,72,0.89,
-tPCytz4rww$_$18,PASS,24,1,0,22,22,199,67,67,0.85,
-vxjVxOeScU$_$4,REVIEW,29,1,2,23,23,272,91,91,1.09,
-wMB_hJL-3o$_$7,PASS,25,1,0,23,23,181,61,60,0.74,
-wny0OAz3g8$_$1,REVIEW,30,1,1,27,8,205,69,28,1.08,
-wny0OAz3g8$_$0,PASS,13,1,0,11,11,100,34,28,0.56,
-wny0OAz3g8$_$3,REVIEW,22,1,0,20,11,184,62,40,1.06,
-wny0OAz3g8$_$2,PASS,30,1,0,28,28,197,67,55,1.15,
-wny0OAz3g8$_$5,REVIEW,29,1,0,27,2,204,69,13,1.07,
-wny0OAz3g8$_$7,REVIEW,33,1,0,31,30,240,81,76,1.28,
-wny0OAz3g8$_$9,REVIEW,24,1,1,21,21,183,62,56,1.06,
-571d8cVauQ$_$0,REVIEW,18,1,0,16,0,152,52,0,0.41,
-571d8cVauQ$_$5,REVIEW,54,2,0,52,0,455,153,0,1.17,
-I_e4mIh0yE$_$1,PASS,23,1,0,21,21,225,76,76,0.94,
-I_e4mIh0yE$_$3,PASS,32,1,0,30,30,271,91,91,1.13,
-UacrmKiTn4$_$10,REVIEW,24,1,0,22,0,218,73,0,0.58,
-UacrmKiTn4$_$4,REVIEW,17,1,0,15,0,142,48,0,0.39,
-hnBHBN8p5A$_$7,REVIEW,19,1,4,12,0,176,59,0,0.88,
-hnBHBN8p5A$_$6,REVIEW,16,1,2,11,1,153,51,3,0.84,
-qDkUB0GgYY$_$6,REVIEW,20,1,1,17,0,140,47,0,0.4,
-uywlfIYOS8$_$4,PASS,24,1,0,22,22,179,60,60,0.76,
-6rXp3zJ3kc$_$8,PASS,40,1,0,38,38,384,128,128,1.47,
-9y-fZ3swSY$_$0,REVIEW,30,1,3,25,25,205,69,69,1.1,
-9y-fZ3swSY$_$8,REVIEW,16,1,0,14,11,149,50,38,0.97,
-AUZQgSxyPQ$_$2,REVIEW,58,2,1,55,55,674,225,225,3.82,
-HeZS2-Prhc$_$2,REVIEW,19,1,0,17,0,246,83,0,0.67,
-MeTTeMJBNc$_$0,REVIEW,28,1,0,26,0,279,94,0,0.72,
-MeTTeMJBNc$_$13,REVIEW,18,1,0,16,0,159,54,0,0.42,
-MeTTeMJBNc$_$7,REVIEW,35,1,0,33,0,314,105,0,0.82,
-RfYyzHpjk4$_$11,PASS,21,1,0,19,19,154,52,52,1.06,
-RfYyzHpjk4$_$8,PASS,23,1,0,21,21,137,46,46,1.03,
-RfYyzHpjk4$_$2,REVIEW,31,1,2,26,26,164,55,54,0.98,
-UUCSKoHeMA$_$0,REVIEW,25,1,0,23,0,234,79,0,0.62,
-ri04Z7vwnc$_$0,REVIEW,10,1,6,2,0,67,23,0,0.32,
-ri04Z7vwnc$_$2,REVIEW,28,1,14,4,1,143,48,17,0.66,
-ri04Z7vwnc$_$5,REVIEW,13,1,5,4,4,83,28,28,0.51,
-s9qJ7ATP7w$_$1,PASS,14,1,0,12,12,140,48,48,0.92,
-s9qJ7ATP7w$_$0,REVIEW,30,1,1,27,26,204,69,68,1.12,
-s9qJ7ATP7w$_$5,REVIEW,22,1,1,19,19,253,85,85,1.46,
-s9qJ7ATP7w$_$4,PASS,12,1,0,10,7,129,44,29,0.68,
-s9qJ7ATP7w$_$7,REVIEW,40,1,2,36,18,207,70,38,1.15,
-s9qJ7ATP7w$_$6,PASS,7,1,0,5,5,71,25,19,0.5,
-s9qJ7ATP7w$_$8,REVIEW,19,1,1,16,15,97,33,29,0.62,
-yRb-Jum7EQ$_$5,REVIEW,33,1,10,21,21,394,132,132,2.1,
-yRb-Jum7EQ$_$6,REVIEW,26,1,6,17,17,336,112,112,1.86,
