检查层级,样本ID,自动状态,问题类型,原视频,给定文本,待查词,建议跳转秒,自动起点秒,自动终点秒,对齐分数,人工判定,修正起点秒,修正终点秒,审查者,审查日期,备注
整段,-9y-fZ3swSY$_$0,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-9y-fZ3swSY\0.mp4,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",,,,,,,,,,,
异常点,-9y-fZ3swSY$_$0,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-9y-fZ3swSY\0.mp4,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",you,0.0,0.1805,0.2406,0.0249,,,,,,
异常点,-9y-fZ3swSY$_$0,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-9y-fZ3swSY\0.mp4,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",I,1.004,1.5038,1.5238,0.0061,,,,,,
异常点,-9y-fZ3swSY$_$0,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-9y-fZ3swSY\0.mp4,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",are,3.31,3.8096,3.8697,0.0049,,,,,,
整段,-9y-fZ3swSY$_$4,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-9y-fZ3swSY\4.mp4,I’ve seen this in US or in the US,,,,,,,,,,,
异常点,-9y-fZ3swSY$_$4,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-9y-fZ3swSY\4.mp4,I’ve seen this in US or in the US,in,0.55,1.0498,1.0902,0.0897,,,,,,
整段,-9y-fZ3swSY$_$8,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-9y-fZ3swSY\8.mp4,That’s a more decent and more polite way to call a lady,,,,,,,,,,,
异常点,-9y-fZ3swSY$_$8,REVIEW,possible_face_switch,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-9y-fZ3swSY\8.mp4,That’s a more decent and more polite way to call a lady,,3.6,4.1,,,,,,,,
整段,-a55Q6RWvTA$_$3,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-a55Q6RWvTA\3.mp4,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",,,,,,,,,,,
异常点,-a55Q6RWvTA$_$3,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-a55Q6RWvTA\3.mp4,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",of,17.419,17.9189,17.959,0.0115,,,,,,
整段,-aNfi7CP8vM$_$7,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-aNfi7CP8vM\7.mp4,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",,,,,,,,,,,
整段,-aqamKhZ1Ec$_$0,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-aqamKhZ1Ec\0.mp4,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",,,,,,,,,,,
异常点,-aqamKhZ1Ec$_$0,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-aqamKhZ1Ec\0.mp4,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",In,0.0,0.1201,0.3804,0.0402,,,,,,
异常点,-aqamKhZ1Ec$_$0,REVIEW,unsupported_ctc_text,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-aqamKhZ1Ec\0.mp4,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.","2008,",,,,,,,,,,
整段,-AUZQgSxyPQ$_$2,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-AUZQgSxyPQ\2.mp4,"The perfect soul mate to the Clarisonic Spot Therapy Brush, this gentle, Ph balanced and hydrating exfoliant containing jojoba and acai fruit oils and bamboo and prickly bear extracts deliver intense healing, while smooth granules buff away dead, dry skin cells.",,,,,,,,,,,
异常点,-AUZQgSxyPQ$_$2,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-AUZQgSxyPQ\2.mp4,"The perfect soul mate to the Clarisonic Spot Therapy Brush, this gentle, Ph balanced and hydrating exfoliant containing jojoba and acai fruit oils and bamboo and prickly bear extracts deliver intense healing, while smooth granules buff away dead, dry skin cells.",and,11.974,12.4737,12.5738,0.0038,,,,,,
整段,-dxfTGcXJoc$_$0,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\0.mp4,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",,,,,,,,,,,
异常点,-dxfTGcXJoc$_$0,REVIEW,unsupported_ctc_text,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\0.mp4,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",...,,,,,,,,,,
异常点,-dxfTGcXJoc$_$0,REVIEW,unsupported_ctc_text,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\0.mp4,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.","1,500",,,,,,,,,,
异常点,-dxfTGcXJoc$_$0,REVIEW,unsupported_ctc_text,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\0.mp4,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.","100,000",,,,,,,,,,
整段,-dxfTGcXJoc$_$1,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\1.mp4,"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.",,,,,,,,,,,
整段,-dxfTGcXJoc$_$2,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\2.mp4,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",,,,,,,,,,,
异常点,-dxfTGcXJoc$_$2,REVIEW,unsupported_ctc_text,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\2.mp4,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.","20,000",,,,,,,,,,
异常点,-dxfTGcXJoc$_$2,REVIEW,unsupported_ctc_text,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\2.mp4,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",50,,,,,,,,,,
整段,-dxfTGcXJoc$_$6,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\6.mp4,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,,,,,,,,,,,
异常点,-dxfTGcXJoc$_$6,REVIEW,possible_face_switch,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\6.mp4,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,,12.1,12.6,,,,,,,,
整段,-egA8-b7-3M$_$1,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\1.mp4,I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.,,,,,,,,,,,
异常点,-egA8-b7-3M$_$1,REVIEW,unsupported_ctc_text,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\1.mp4,I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.,1989.,,,,,,,,,,
整段,-egA8-b7-3M$_$13,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\13.mp4,"What are you doing that's different?"" They always want an answer.",,,,,,,,,,,
整段,-egA8-b7-3M$_$16,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\16.mp4,"Third, another big benefit of exhibiting is connecting with existing clients.",,,,,,,,,,,
整段,-egA8-b7-3M$_$17,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\17.mp4,"As you have more experience, you have more times exhibiting, you get to know more people.",,,,,,,,,,,
整段,-egA8-b7-3M$_$18,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\18.mp4,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,,,,,,,,,,,
整段,-egA8-b7-3M$_$20,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\20.mp4,"Now you've got a face that you can connect with a voice, and that makes you closer to that client.",,,,,,,,,,,
整段,-egA8-b7-3M$_$26,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\26.mp4,We're updating it all the time and looking forward to your comments on our videos.,,,,,,,,,,,
整段,-egA8-b7-3M$_$6,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\6.mp4,First exhibiting is a wonderful opportunity to network with other legal vendors.,,,,,,,,,,,
整段,-egA8-b7-3M$_$9,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\9.mp4,"Secondly, another goal of exhibiting  is building your company image.",,,,,,,,,,,
整段,-HeZS2-Prhc$_$2,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HeZS2-Prhc\2.mp4,The August jobs report is out and it was seen overall as solid but not great.,,,,,,,,,,,
异常点,-HeZS2-Prhc$_$2,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HeZS2-Prhc\2.mp4,The August jobs report is out and it was seen overall as solid but not great.,,,,,,,,,,,
整段,-hnBHBN8p5A$_$6,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-hnBHBN8p5A\6.mp4,"Discussion, how to discuss ideas and opinions more effectively than a native speaker",,,,,,,,,,,
异常点,-hnBHBN8p5A$_$6,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-hnBHBN8p5A\6.mp4,"Discussion, how to discuss ideas and opinions more effectively than a native speaker","Discussion,",0.0,0.3006,0.6213,0.0996,,,,,,
异常点,-hnBHBN8p5A$_$6,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-hnBHBN8p5A\6.mp4,"Discussion, how to discuss ideas and opinions more effectively than a native speaker",and,1.264,1.7636,1.8437,0.0141,,,,,,
异常点,-hnBHBN8p5A$_$6,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-hnBHBN8p5A\6.mp4,"Discussion, how to discuss ideas and opinions more effectively than a native speaker",,,,,,,,,,,
异常点,-hnBHBN8p5A$_$6,REVIEW,possible_face_switch,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-hnBHBN8p5A\6.mp4,"Discussion, how to discuss ideas and opinions more effectively than a native speaker",,0.376,0.8759,,,,,,,,
整段,-hnBHBN8p5A$_$7,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-hnBHBN8p5A\7.mp4,"Picture this, before we actually start hacking, we’re in a room formal setting",,,,,,,,,,,
异常点,-hnBHBN8p5A$_$7,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-hnBHBN8p5A\7.mp4,"Picture this, before we actually start hacking, we’re in a room formal setting","this,",0.381,0.881,1.0212,0.0,,,,,,
异常点,-hnBHBN8p5A$_$7,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-hnBHBN8p5A\7.mp4,"Picture this, before we actually start hacking, we’re in a room formal setting",we,1.482,1.9823,2.0624,0.0,,,,,,
异常点,-hnBHBN8p5A$_$7,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-hnBHBN8p5A\7.mp4,"Picture this, before we actually start hacking, we’re in a room formal setting",a,4.686,5.1861,5.2061,0.0035,,,,,,
异常点,-hnBHBN8p5A$_$7,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-hnBHBN8p5A\7.mp4,"Picture this, before we actually start hacking, we’re in a room formal setting",room,4.846,5.3463,5.4664,0.0001,,,,,,
异常点,-hnBHBN8p5A$_$7,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-hnBHBN8p5A\7.mp4,"Picture this, before we actually start hacking, we’re in a room formal setting",,,,,,,,,,,
整段,-HwX2H8Z4hY$_$2,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\2.mp4,"” [President Ronald Reagan:] ""Look at the record",,,,,,,,,,,
异常点,-HwX2H8Z4hY$_$2,REVIEW,unsupported_ctc_text,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\2.mp4,"” [President Ronald Reagan:] ""Look at the record",”,,,,,,,,,,
异常点,-HwX2H8Z4hY$_$2,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\2.mp4,"” [President Ronald Reagan:] ""Look at the record",[President,0.0,0.0,0.241,0.0902,,,,,,
异常点,-HwX2H8Z4hY$_$2,REVIEW,low_ctc_confidence,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\2.mp4,"” [President Ronald Reagan:] ""Look at the record",Ronald,0.0,0.3012,0.5221,0.0001,,,,,,
异常点,-HwX2H8Z4hY$_$2,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\2.mp4,"” [President Ronald Reagan:] ""Look at the record",,,,,,,,,,,
异常点,-HwX2H8Z4hY$_$2,REVIEW,possible_face_switch,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\2.mp4,"” [President Ronald Reagan:] ""Look at the record",,2.8,3.3,,,,,,,,
整段,-HwX2H8Z4hY$_$5,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\5.mp4,""" President Ronald Reagan blamed the professional bureaucracy of education",,,,,,,,,,,
异常点,-HwX2H8Z4hY$_$5,REVIEW,unsupported_ctc_text,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\5.mp4,""" President Ronald Reagan blamed the professional bureaucracy of education","""",,,,,,,,,,
异常点,-HwX2H8Z4hY$_$5,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\5.mp4,""" President Ronald Reagan blamed the professional bureaucracy of education",,,,,,,,,,,
整段,-HwX2H8Z4hY$_$6,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\6.mp4,"And in part, Al Shanker did too",,,,,,,,,,,
异常点,-HwX2H8Z4hY$_$6,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\6.mp4,"And in part, Al Shanker did too",,,,,,,,,,,
