sample_id,reference,fixed_class,class_text,class_audio,class_vision,strength_text,strength_audio,strength_vision,base_class_probability,full_class_probability,shapley_sum_error
09,mean,negative,0.8971871733665466,-0.00806583886151202,-0.010837341425940394,-2.6186701953411102,0.11806618049740791,-0.05866822600364685,0.05934973061084747,0.9376336932182312,1.557054929435253e-08
09,missing,negative,0.5840291902422905,0.009189377422444522,0.0048831653548404574,-1.9172621369361877,0.04391647345619276,-0.11574007174931467,0.3395319879055023,0.9376336932182312,2.0954757928848267e-09
10,mean,negative,0.8614023625850677,-0.015979804506059736,-0.015603190520778298,-2.3945924043655396,0.15787193551659584,-0.1304323971271515,0.06039957329630852,0.8902189135551453,4.5925844460725784e-08
10,missing,negative,0.5074479281902313,0.00019745035388041288,0.043041568249464035,-1.5453903526067734,0.12103826552629471,-0.2710093595087528,0.3395319879055023,0.8902189135551453,8.658389560878277e-09
11,mean,negative,0.7991034835577011,0.011887071130331606,0.0005153096280992031,-1.6338101923465729,0.005771465599536896,0.08030354883521795,0.06190536543726921,0.8734111785888672,6.979098543524742e-08
11,missing,negative,0.3825746849179268,0.06004934199154377,0.09125517681241035,-0.967611163854599,0.016577400267124176,-0.030796147417277098,0.3395319879055023,0.8734111785888672,4.284083843231201e-08
12,mean,negative,0.7876210808753967,-0.018847460625693202,-0.013356354087591171,-1.6715663075447083,-0.014528531581163406,-0.1430392786860466,0.059141505509614944,0.814558744430542,3.841705620288849e-08
12,missing,negative,0.3984738364815712,-0.005764663190348074,0.08231759537011385,-0.7873690724372864,-0.0001999612431973219,-0.3411870002746582,0.3395319879055023,0.814558744430542,1.2136297300457954e-08
13,mean,neutral,0.19856873899698257,0.08668056316673756,0.0,-0.32288429886102676,-0.19867929071187973,0.0,0.2978140711784363,0.5830633640289307,9.313225746154785e-09
13,missing,neutral,0.25138624012470245,-0.006825312506407499,0.0,0.07693477347493172,-0.09828330553136766,0.0,0.338502436876297,0.5830633640289307,4.656612873077393e-10
14,mean,neutral,0.3267708979547024,0.05050019361078739,-0.07739791460335255,-0.6535143107175827,-0.11056540440768003,0.07141638360917568,0.20256365835666656,0.5024368166923523,3.725290298461914e-09
14,missing,neutral,0.297006256878376,-0.013509182026609778,-0.11956268548965454,-0.17686911579221487,0.05496491678059101,0.11032180406618863,0.338502436876297,0.5024368166923523,9.546056389808655e-09
15,mean,positive,0.1981834266334772,0.02577969490084797,-0.05303541012108326,0.4685288965702057,0.046383184380829334,-0.1755775772035122,0.7151346206665039,0.8860623240470886,8.032657206058502e-09
15,missing,positive,0.4685620591044426,0.08544573653489351,0.010088935727253556,0.8671066462993622,0.18379522673785686,-0.10756115429103374,0.32196560502052307,0.8860623240470886,4.21423465013504e-08
16,mean,negative,0.9129505455493927,-0.0024211382842622697,-0.0003856340190395713,-2.7224729359149933,0.05112890526652336,-0.13669383083470166,0.05997477099299431,0.970118522644043,4.022149369120598e-08
16,missing,negative,0.5853145569562912,0.007413834624458104,0.037858160212635994,-2.1357325315475464,0.011478887288831174,-0.15909741073846817,0.3395319879055023,0.970118522644043,4.685716703534126e-08
17,mean,positive,0.31126274913549423,-0.07429521437734365,-0.030647834995761514,0.9224852323532104,-0.09783806465566158,-0.1513838730752468,0.7155538201332092,0.9218735098838806,1.0011717677116394e-08
17,missing,positive,0.5857845917344093,-8.406245615333319e-05,0.014207373489625752,1.3208636343479156,-0.0020411740988492966,-0.016064294934039935,0.32196560502052307,0.9218735098838806,2.7706846594810486e-08
18,mean,negative,0.4313366003334522,0.0057206416968256235,-0.043035867623984814,-0.9960351586341858,0.03636960685253143,-0.28183256834745407,0.06438317149877548,0.458404541015625,1.234002411365509e-08
18,missing,negative,0.021723733050748706,0.04484075400978327,0.05230806861072779,-0.20882662385702133,0.004809094127267599,-0.3693791292607784,0.3395319879055023,0.458404541015625,2.561137080192566e-09
19,mean,negative,0.46751047670841217,-0.005901967553654686,-0.06095830234698951,-0.9160834401845932,0.03878239635378122,0.20637968368828297,0.05733666196465492,0.45798686146736145,3.5797711461782455e-09
19,missing,negative,0.10172917880117893,0.012375404709018767,0.004350294679170474,-0.13067189324647188,0.010772228240966797,0.15333943720906973,0.3395319879055023,0.45798686146736145,4.627509042620659e-09
20,mean,positive,0.12459771148860455,-0.015559216451947577,0.018412749283015728,0.22870901599526405,-0.03080424794461578,-0.02888214774429798,0.7405753135681152,0.8680265545845032,3.3032847568392754e-09
20,missing,positive,0.4246871992945671,0.03385414241347462,0.0875196186825633,0.6824491396546364,0.12178462278097868,0.06449147313833237,0.32196560502052307,0.8680265545845032,4.062894731760025e-08
